ObservedAgentID;ContractID;InstrumentID;DefaultStatusOfTheInstrumentICR;DateOfTheDefaultStatusOfTheInstrumentICR;DateOfICRPastDueAmount;DateOfICRPastDueAmountNEV;ICRPastDueAmount;ICRPastDueAmountNEV;ExigibilityStatus;DateOfExigibilityStatus;DateOfExigibilityStatusNEV;RegularisationStatus;DateOfRegularisationStatus;DateOfRegularisationStatusNEV;UseOfCommitmentAmount
444555999;220-00-03809-62;220000000000;1;2014-06-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03820-73;220000000000;1;2014-08-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03821-74;220000000000;1;2014-08-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03822-75;220000000000;1;2014-09-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03824-77;220000000000;1;2014-09-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03828-81;220000000000;1;2014-09-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03831-84;220000000000;1;2014-11-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03832-85;220000000000;1;2014-11-24;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03834-87;220000000000;1;2014-11-27;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03838-91;220000000000;1;2014-12-10;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03842-95;220000000000;1;2014-12-18;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03843-96;220000000000;1;2014-12-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03847-03;220000000000;1;2014-12-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03848-04;220000000000;1;2014-12-30;2014-12-30;;569,88;;-5;;-5;0;;0;-5
444555999;220-00-03851-07;220000000000;1;2015-01-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03852-08;220000000000;1;2015-02-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03853-09;220000000000;1;2015-02-16;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03854-10;220000000000;1;2015-02-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03855-11;220000000000;1;2015-02-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03856-12;220000000000;1;2015-03-02;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03857-13;220000000000;1;2015-03-09;2015-03-09;;798,02;;-5;;-5;0;;0;-5
444555999;220-00-03859-15;220000000000;1;2015-05-04;2015-05-04;;594,68;;-5;;-5;0;;0;-5
444555999;220-00-03860-16;220000000000;1;2015-05-19;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03861-17;220000000000;1;2015-05-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03862-18;220000000000;1;2015-06-22;2015-06-22;;1055,2;;-5;;-5;0;;0;-5
444555999;220-00-03864-20;220000000000;1;2015-06-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03865-21;220000000000;1;2015-07-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03866-22;220000000000;1;2015-07-04;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03868-24;220000000000;1;2015-07-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03872-28;220000000000;1;2015-09-28;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03873-29;220000000000;1;2015-09-29;2015-09-29;;16,45;;-5;;-5;0;;0;-5
444555999;220-00-03876-32;220000000000;1;2015-11-13;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03877-33;220000000000;1;2015-11-25;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03878-34;220000000000;1;2015-11-30;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03880-36;220000000000;1;2015-12-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03881-37;220000000000;1;2015-12-02;2015-12-02;;771,19;;-5;;-5;0;;0;-5
444555999;220-00-03882-38;220000000000;1;2015-12-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03883-39;220000000000;1;2015-12-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03884-40;220000000000;1;2015-12-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03885-41;220000000000;1;2015-12-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03887-43;220000000000;1;2015-12-14;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03888-44;220000000000;2;2023-10-01;2022-11-01;;7434,8;;-5;;-5;2;;0;-5
444555999;220-00-03889-45;220000000000;1;2015-12-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03891-47;220000000000;1;2015-12-29;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03892-48;220000000000;1;2016-01-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03895-51;220000000000;1;2016-02-05;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03896-52;220000000000;1;2016-02-23;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03897-53;220000000000;1;2016-03-01;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03899-55;220000000000;1;2016-03-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03904-60;220000000000;1;2016-04-21;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03905-61;220000000000;1;2016-05-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03907-63;220000000000;1;2016-05-26;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03909-65;220000000000;1;2016-06-03;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03911-67;220000000000;1;2016-06-07;;;;0;-5;;-5;0;;0;-5
444555999;220-00-03912-68;220000000000;1;2016-06-23;2016-06-23;;496,76;;-5;;-5;0;;0;-5
444555999;220-00-03913-69;220000000000;1;2016-06-30;;;;0;-5;;-5;0;;0;-5
